10nhcxSOROVXyBB4gVUQXIusS9fH-Pvbo	pdf	application/pdf	196249	cdd8fb029d944732ce058a5f0ca90d7d0c4821512bfcdd81849f7ef5d18556e5
118JQvYHdLl7nqKW9ECy_-J9G4uDVN7El	pdf	application/pdf	1730469	e3f4ad5b9e8d5fa1e0064921804f605e65d5626427d4265bd496e0cf9869ea9f
12HuWCrjcI1BlRZ5ZtBar7Uv3XsZE-UZX	pdf	application/pdf	1230066	7e2d2008f43ff428cdb5c2d076391d38f11c78d9a619bf06f21d052642b236a4
18-df3yUrArFGb1ERX50muH-ZW28dApK0	pdf	application/pdf	1615741	1b21210e0c01e830181403e4672a21b0356e8d871d5bd04d87c6893b0ce25428
1AqIXm0KmxhdbgmZpZWSE1RlmezqAeVmH	pdf	application/pdf	184447	88b20c1499aed5bc520ce478f7b42cf41fa6f2beeddf33606c615732d092ffdc
1BcJo9JgGExzuUMEfk4kcRAThmM8QrJ48	pdf	application/pdf	598780	19b3d9d3a4e4c02802e8e94dc7979a312fe57d4b3e4b2d15c210fa0a2a0663cb
1BvmoNh3w1lK6Y29BZaYA5nlV4IIoYSVl	pdf	application/pdf	1489810	650169df2244d8b0fc948df6edef8a50b236c1887f9131fd49c742e095c6e8fc
1CGXjid3-vMyLz34vE8GpetOeyJTczLyL	pdf	application/pdf	3110474	dc29d1f1f48ce460d6a32acdf252ee3d044e8b434c03eb5740f04b14a0c9e3f8
1DS9uEtFKC2Jl3OiG3pPpgnQEC3l15oo2	pdf	application/pdf	163554	1c40a5830e616fb3b35a235fd399c632e56546f1b74d7d2127c1892569aad89e
1GNQuxWEKSkjh8c2rhEmOILPWy6roI5gN	png	image/png	109919	5fa001763b08694eeb9e009803c8ef26f652d3bb647dad969695b1195d4a3d1c
1Gzjf8yOjE-y-0DtYHXVsJfOz65MdFjwA	pdf	application/pdf	107173	3f450542555a3a59c403307c35e8c36f9d1bbdde492e0de322a695f52d59792c
1Kz9IXg1fy2jdODHWDTjnnAtWdhjXto-q	pdf	application/pdf	1796377	35f8e3a46c50f759f8893d3fd40435744e4df09adf09e7877652cad5898c6502
1L1oCH6RhoyNV2pNxtHUjnjR-QvTTd5By	pdf	application/pdf	3396660	b515569d518c381055b20a3c6b2f94a0ef7f42bd3b53e777868553e3a41dff4e
1QaqCw86dPtVUWKROUsM8poT3o9Y9yHl2	png	image/png	295369	f92259ab7a1dd70ad1f121fdece37228d7d0fa1c9259f3355e034b82464c5426
